"","timestamp","GPS.Fix.Attempt","GPS.Latitude","GPS.Longitude","GPS.Altitude","GPS.Speed","GPS.Heading","GPS.Horizontal.Error","GPS.Horizontal.Dilution","GPS.Satellite.Count","GPS.Navigation.Time","individual.local.identifier"
"1","2017-06-10 17:00:00","Succeeded (3D)",-21.594083,-53.739899,312,0.07,42.9,12.24,1.4,6,46,"1"
"2","2017-06-10 18:00:00","Succeeded (3D)",-21.594131,-53.739981,312,0.11,111.8,38.04,1.4,5,46,"1"
"3","2017-06-10 19:00:00","Succeeded (3D)",-21.593925,-53.739794,305,0.64,94.9,87.43,2.6,4,156,"1"
"4","2017-06-10 20:00:00","Resolved QFP",-21.594038,-53.739895,312,NA,NA,NA,1.9,6,180,"1"
"5","2017-06-10 21:00:00","Resolved QFP",-21.596969,-53.739843,-488,NA,NA,NA,17.4,5,180,"1"
"6","2017-06-10 22:00:00","Unresolved QFP",-21.592446,-53.742429,6,NA,NA,NA,25.5,4,180,"1"
"7","2017-06-10 23:00:00","Resolved QFP",-21.594035,-53.739873,322,NA,NA,NA,1.2,6,180,"1"
"8","2017-06-11 00:00:00","Resolved QFP",-21.593975,-53.739869,350,NA,NA,NA,1.8,6,180,"1"
"9","2017-06-11 01:00:00","Succeeded (3D)",-21.594086,-53.73985,301,0.33,355.1,73.94,2,4,144,"1"
"10","2017-06-11 02:00:00","Resolved QFP",-21.594064,-53.740004,288,NA,NA,NA,4.3,6,180,"1"
"11","2017-06-11 03:00:00","Unresolved QFP",-21.592505,-53.736108,18,NA,NA,NA,25.5,4,180,"1"
"12","2017-06-11 04:00:00","Resolved QFP",-21.593971,-53.739747,298,NA,NA,NA,4,5,180,"1"
"13","2017-06-11 05:00:00","Unresolved QFP",-21.596027,-53.74041,1,NA,NA,NA,25.5,4,180,"1"
"14","2017-06-11 06:00:00","Resolved QFP",-21.594124,-53.739853,305,NA,NA,NA,1,8,180,"1"
"15","2017-06-11 07:00:00","Resolved QFP",-21.594631,-53.738875,305,NA,NA,NA,5.1,6,180,"1"
"16","2017-06-11 08:00:00","Resolved QFP",-21.594089,-53.740457,514,NA,NA,NA,1.4,6,180,"1"
"17","2017-06-11 09:00:00","Resolved QFP",-21.59408,-53.739795,328,NA,NA,NA,1,8,180,"1"
"18","2017-06-11 10:00:00","Resolved QFP",-21.594116,-53.739891,325,NA,NA,NA,1.3,6,180,"1"
"19","2017-06-11 11:00:00","Resolved QFP",-21.594105,-53.739955,295,NA,NA,NA,1.7,6,180,"1"
"20","2017-06-11 12:00:00","Resolved QFP",-21.593922,-53.739866,436,NA,NA,NA,1.9,5,180,"1"
"21","2017-06-11 13:00:00","Succeeded (3D)",-21.594094,-53.739897,313,1.53,170.9,52.58,1.4,5,117,"1"
"22","2017-06-11 14:00:00","Succeeded (3D)",-21.594023,-53.739978,256,0.61,193.4,58.95,1.6,4,129,"1"
"23","2017-06-11 15:00:00","Succeeded (3D)",-21.594,-53.739964,327,0.76,284.8,49.36,2.4,4,125,"1"
"24","2017-06-11 16:00:00","Resolved QFP",-21.594507,-53.740632,340,NA,NA,NA,5.6,6,180,"1"
"25","2017-06-11 17:00:00","Resolved QFP",-21.594113,-53.739912,297,NA,NA,NA,2.9,6,180,"1"
"26","2017-06-11 18:00:00","Succeeded (3D)",-21.594107,-53.739855,261,0.75,208.8,62.57,1.6,5,46,"1"
"27","2017-06-11 19:00:00","Succeeded (3D)",-21.594064,-53.739954,315,0.13,117.4,80.31,3.6,4,65,"1"
"28","2017-06-11 20:00:00","Resolved QFP",-21.594197,-53.739739,274,NA,NA,NA,2.1,5,180,"1"
"29","2017-06-11 21:00:00","Resolved QFP",-21.59428,-53.739809,300,NA,NA,NA,18.7,5,180,"1"
"30","2017-06-11 22:00:00","Succeeded (3D)",-21.594194,-53.739777,317,0.94,93.5,76.37,2,4,46,"1"
"31","2017-06-11 23:00:00","Succeeded (3D)",-21.594068,-53.739899,318,1.9,189.1,56.08,1.4,5,175,"1"
"32","2017-06-12 00:00:00","Resolved QFP",-21.593912,-53.739937,395,NA,NA,NA,1.5,6,180,"1"
"33","2017-06-12 01:00:00","Succeeded (3D)",-21.594006,-53.73994,315,1.01,9.1,66.21,2,4,120,"1"
"34","2017-06-12 02:00:00","Succeeded (3D)",-21.593979,-53.739808,289,0.25,200.4,61.63,3.4,4,66,"1"
"35","2017-06-12 03:00:00","Succeeded (3D)",-21.593986,-53.73998,292,0.59,235.5,59.38,1.6,4,46,"1"
"36","2017-06-12 04:00:00","Unresolved QFP",-21.593689,-53.739544,7,NA,NA,NA,25.5,4,180,"1"
"37","2017-06-12 05:00:00","Unresolved QFP",-21.593676,-53.73912,1,NA,NA,NA,25.5,4,180,"1"
"38","2017-06-12 06:00:00","Succeeded (3D)",-21.59422,-53.740141,339,0.78,298.8,99.67,3.2,4,143,"1"
"39","2017-06-12 07:00:00","Unresolved QFP",-21.596245,-53.737813,8,NA,NA,NA,25.5,4,180,"1"
"40","2017-06-12 08:00:00","Unresolved QFP",-21.592823,-53.738808,1,NA,NA,NA,25.5,4,180,"1"
