"region","name","name.short","method","sex","age","adult","tstart","tend","days","median.long","median.lat","uere.calibtration","color","speed.est","speed.high","speed.low","tau.position.est","tau.position.high","tau.position.low","tau.velocity.est","tau.velocity.high","tau.velocity.low","area.low","area.est","area.high","x.df","y.df","cell.area","total.cells","forest","floodplain","pasture","crop","dirt","savannah","water","urban","plantation"
"Mata Atlantica","AF_01_JOANA","JOANA","VHF","FEMALE","ADULT","Yes",1997-07-10,2000-06-08 23:33:00,1064.98125,-52.35778234,-22.52888473,FALSE,"#ff8c00",NA,NA,NA,0.330814343479101,0.39247333379058,0.278842205136677,NA,NA,NA,6.9494752159188,7.97596456555284,9.07212874734015,216.77694220743,216.77694220743,100,6352,0.94647355163728,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_02_PAULETE","PAULETE","VHF","FEMALE","ADULT","Yes",1998-02-17,2000-10-06 05:02:00,962.209722222222,-52.3529978,-22.52567297,FALSE,"#ff8c00",NA,NA,NA,0.100717842604784,0.125364130866929,0.0809169556619804,NA,NA,NA,5.77579859870792,6.64070402478585,7.5650722723098,211.480726004215,211.480726004215,100,5788,1,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_05_CHUCHU","CHUCHU","VHF","FEMALE","SUB-ADULT","No",1998-08-04,2001-06-08 16:52:00,1039.70277777778,-52.36430426,-22.52831081,FALSE,"#ff8c00",NA,NA,NA,3.35486531329558,4.9671926856337,2.26589181911673,NA,NA,NA,15.3660290446775,20.9905272440723,27.4786240139272,45.9702047217387,45.9702047217387,100,10492,0.945005718642775,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_12_PATRICIA","PATRICIA","VHF","FEMALE","JUVENILE","No",2000-08-08,2003-01-07 21:30:00,882.895833333333,-52.35106883,-22.548133835,FALSE,"#ff8c00",NA,NA,NA,0.327723471397586,0.476826285398252,0.225244867982017,NA,NA,NA,6.81998577468349,8.66522305884462,10.7280454180558,75.3675279752564,75.3675279752564,100,7672,0.94825338894682,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_14_JAMESBOND","JAMESBOND","VHF","MALE","ADULT","Yes",2001-02-13,2003-06-24 01:30:00,861.0625,-52.17086849,-22.62189408,FALSE,"#ff8c00",NA,NA,NA,0.15322323024675,0.202074963148891,0.116181430501859,NA,NA,NA,1.63842882307552,1.96539117866837,2.32165775507558,126.976178269263,126.976178269263,100,1059,0.897072710103872,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_15_GEORGETE","GEORGETE","VHF","FEMALE","ADULT","Yes",2001-02-13,2003-02-06 03:30:00,723.145833333333,-52.17245517,-22.61663555,FALSE,"#ff8c00",NA,NA,NA,0.0468202042795813,0.0638241352570014,0.0343464352467079,NA,NA,NA,0.969829821052718,1.1437329795709,1.33176557028308,153.265986113786,153.265986113786,100,904,0.81858407079646,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_17_ESPERTA","ESPERTA","VHF","FEMALE","ADULT","Yes",2002-06-06,2004-03-02 18:28:00,635.769444444444,-52.36865723,-22.39991202,FALSE,"#ff8c00",15.1062466748424,17.9440620281582,12.2628719401879,0.305504147405347,0.8114065993322,0.115025911988739,0.285938455196535,0.794625571513993,0.102892233891244,3.26456695164817,4.74968171778339,6.50883615292124,32.759440189732,32.759440189732,100,4754,1,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_20_CHICO","CHICO","VHF","MALE","ADULT","Yes",2003-06-30,2005-09-15 19:46:00,808.823611111111,-52.24621217,-22.59782759,FALSE,"#ff8c00",NA,NA,NA,0.864045145654183,1.11694569191881,0.668406726602809,NA,NA,NA,13.4489538978446,16.2791611003446,19.3756046622042,115.756154476443,115.756154476443,100,17905,1,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_23_TONHA","TONHA","VHF","FEMALE","ADULT","Yes",2004-04-20,2006-12-05 05:00:00,959.208333333333,-52.21806685,-22.58463468,FALSE,"#ff8c00",NA,NA,NA,0.177939007265886,0.219491849242323,0.144252692826937,NA,NA,NA,2.0328488106439,2.32388598369173,2.6341098861528,229.365239348177,229.365239348177,100,2572,1,0,0,0,0,0,0,0,0
"Mata Atlantica","AF_24_TINA","TINA","VHF","FEMALE","ADULT","Yes",2004-05-26,2006-07-07 19:03:00,772.79375,-52.275738175,-22.5657209,FALSE,"#ff8c00",NA,NA,NA,0.127955399882055,0.158544937570114,0.103267783947603,NA,NA,NA,2.10766394738019,2.45229370615654,2.82263619274935,180.59310111377,180.59310111377,100,2713,1,0,0,0,0,0,0,0,0
